X,country,cnt,date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,StringencyIndex
1,Albania,ALB,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Albania,ALB,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Albania,ALB,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Albania,ALB,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Albania,ALB,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Albania,ALB,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Albania,ALB,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Albania,ALB,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Albania,ALB,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Albania,ALB,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Albania,ALB,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Albania,ALB,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Albania,ALB,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Albania,ALB,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Albania,ALB,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Albania,ALB,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Albania,ALB,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Albania,ALB,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Albania,ALB,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Albania,ALB,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Albania,ALB,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Albania,ALB,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Albania,ALB,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Albania,ALB,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Albania,ALB,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Albania,ALB,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Albania,ALB,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Albania,ALB,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Albania,ALB,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Albania,ALB,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Albania,ALB,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Albania,ALB,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Albania,ALB,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Albania,ALB,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Albania,ALB,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Albania,ALB,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Albania,ALB,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Albania,ALB,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Albania,ALB,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Albania,ALB,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Albania,ALB,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Albania,ALB,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Albania,ALB,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Albania,ALB,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Albania,ALB,2020-02-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
46,Albania,ALB,2020-02-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
47,Albania,ALB,2020-02-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
48,Albania,ALB,2020-02-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
49,Albania,ALB,2020-02-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
50,Albania,ALB,2020-02-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
51,Albania,ALB,2020-02-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
52,Albania,ALB,2020-02-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
53,Albania,ALB,2020-02-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.56
