date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-02-28,R,NA,estimate,3.629659112753855,3.6076660505354115,0.3595286903985085,2.9805983720862264,3.3754766356361996,3.540727836485853,3.7144377185943425,3.854780807174184,4.186063695195212,Estonia
2020-02-29,R,NA,estimate,3.1875754437545103,3.1676621997997096,0.33302211539670595,2.5900678796519467,2.951071824018633,3.102704541943049,3.2653094499153705,3.396988546922932,3.7059944765032933,Estonia
2020-03-01,R,NA,estimate,2.393720083756789,2.3794265327334156,0.24781469427669378,1.9514997251118933,2.2160636611662383,2.329104182304061,2.4510499188066666,2.5504236098529462,2.783838553385374,Estonia
2020-03-02,R,NA,estimate,1.9018348608324886,1.8917494856035306,0.18161862050696925,1.5792023241851114,1.7716769595052984,1.853764049139213,1.9436194237492692,2.0166683320164744,2.1901674290654527,Estonia
2020-03-03,R,NA,estimate,1.8466018310252381,1.839256909246644,0.15647194169155698,1.5710441466031098,1.73393716847784,1.8050769447866826,1.8835363958874316,1.9476385904078573,2.098628977657919,Estonia
2020-03-04,R,NA,estimate,1.5266487427894293,1.5218412223189581,0.11822763387833259,1.3197741074237905,1.443062819895111,1.495371263142259,1.5564529119941795,1.6042693766907243,1.7173619313642061,Estonia
2020-03-05,R,NA,estimate,1.42120558081676,1.4174096022339386,0.09534709908914592,1.2553407535341337,1.3535574736472462,1.395243742665395,1.4448960380392872,1.4836878508336397,1.5744625864224924,Estonia
2020-03-06,R,NA,estimate,1.4145074196763678,1.4119836936979622,0.08245219476396391,1.2724073853124875,1.3561172399834573,1.3928369805260177,1.435819664248283,1.4694775553268824,1.5486893412064873,Estonia
2020-03-07,R,NA,estimate,1.3398304492655881,1.3381185494443975,0.0700872603451489,1.2193364072332888,1.2901582397640692,1.3221604082998542,1.3584384473492612,1.3865556605743752,1.4532281492339878,Estonia
2020-03-08,R,NA,estimate,1.3414793593335084,1.3404733970021379,0.06230900547353247,1.2350376619570607,1.297912272676868,1.3261089201133485,1.357285093609716,1.3834049516168372,1.4421044034656394,Estonia
2020-03-09,R,NA,estimate,1.2850096756431357,1.2838226168861506,0.054631495823078274,1.1907939774540353,1.2467934842246997,1.2717831276395777,1.2985075355417233,1.3217367904753403,1.3723650502391798,Estonia
2020-03-10,R,NA,estimate,1.2909277345016097,1.2897256735506497,0.04942986865923387,1.2052866145907093,1.2554365054669794,1.278700261101768,1.3026131866814183,1.323369321850049,1.3688232076783344,Estonia
2020-03-11,R,NA,estimate,1.58864598840675,1.5873002520767834,0.05653239847999738,1.4902095978011656,1.548683560817167,1.5747975602341118,1.6026480515718604,1.6257752171961986,1.676836198024091,Estonia
2020-03-12,R,NA,estimate,1.3484552669168024,1.345499668147314,0.056340548148661455,1.246044908283358,1.3091731097604824,1.3350559995893096,1.3618259585081858,1.3843776507573153,1.4314131006879895,Estonia
2020-03-13,R,NA,estimate,1.3082095765868893,1.3060849876183231,0.05161992151440674,1.214918256267118,1.2723833054962332,1.2962222771584746,1.3212232494609504,1.3416854801727995,1.3844524412119463,Estonia
2020-03-14,R,NA,estimate,1.1821954612754642,1.1805997538991102,0.04389823971354085,1.1034308720722985,1.1513637218327335,1.1714867032526497,1.1929726933181002,1.2110934438047667,1.2489267548988277,Estonia
