date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-02-27,R,NA,estimate,2.2361760318625974,2.2392138311471794,0.14442904685765756,1.9999359199311937,2.1410539742225723,2.1986951382627256,2.2761815529196383,2.3336495468518663,2.480526525736472,Greece
2020-02-28,R,NA,estimate,1.9578469498942581,1.9567146769310264,0.1424152226954801,1.7184790407788986,1.8616614079953808,1.9208190069066804,1.9958402383650637,2.0522135793235594,2.188269206858685,Greece
2020-02-29,R,NA,estimate,2.374320656252064,2.37251200858624,0.1726481237127633,2.0866443766754896,2.256719158619018,2.328134917793416,2.4205843736750903,2.4894438400108165,2.6509576221025,Greece
2020-03-01,R,NA,estimate,1.8476828867841177,1.8454576182155005,0.14641649044069768,1.599850804796659,1.748334506735942,1.8090201935839714,1.8861772718474707,1.9470090621187108,2.0819445448366958,Greece
2020-03-02,R,NA,estimate,1.7118898127390367,1.7102823777699523,0.1279665656971778,1.4982238728151769,1.6241783534901704,1.6768373359621127,1.7451323686893834,1.799177552814151,1.9199515617495375,Greece
2020-03-03,R,NA,estimate,1.5595037448010078,1.5594670359687373,0.10872228447007892,1.378676173207806,1.4865240031091858,1.5311390674515468,1.5904651008727702,1.6345130972599422,1.7375610545866136,Greece
2020-03-04,R,NA,estimate,1.4165355781211129,1.416300897175014,0.09009010665985534,1.2676752514685368,1.3551284078497279,1.3923021111990965,1.4407969215468759,1.4786762791301482,1.5647069397334763,Greece
2020-03-05,R,NA,estimate,1.3673051907911864,1.3677725496359117,0.07758419068270866,1.2411495938868113,1.3143469209140544,1.346831016308383,1.3874552539105913,1.4209209446851596,1.494786879876864,Greece
2020-03-06,R,NA,estimate,1.2917962669073306,1.2927088826332853,0.06627939196429604,1.1859296638735917,1.2466906166738618,1.2744695067066623,1.3094082593396155,1.337325724575848,1.3997021656997484,Greece
2020-03-07,R,NA,estimate,1.3822726495437978,1.3836956118972594,0.0634774312997991,1.2830812472320163,1.3400350316620742,1.3657020901856876,1.398939604194901,1.4257410800957042,1.4873180259932863,Greece
2020-03-08,R,NA,estimate,1.425856484132869,1.4264300216918675,0.06354842819516127,1.3246975212759458,1.3830383854961634,1.4090115459741002,1.44213565732607,1.4687825019329068,1.5295307187978997,Greece
2020-03-09,R,NA,estimate,1.3785595337327468,1.378755136558312,0.06157700498426172,1.2791100651162262,1.337066295516899,1.3622150157163853,1.3946384387178552,1.4202987048348477,1.4781308614201256,Greece
2020-03-10,R,NA,estimate,1.4214826486984042,1.4218184934682034,0.0617482679248845,1.3216233648927478,1.3810145316485671,1.4054987765794742,1.4377525143242913,1.4640029180661216,1.5199546457833215,Greece
2020-03-11,R,NA,estimate,1.360018171138022,1.3603153092882068,0.0593277433817298,1.2638888093011307,1.3220261722004552,1.3452595808126575,1.3763544202633269,1.3999994280440522,1.455170713797217,Greece
2020-03-12,R,NA,estimate,1.2480573418881216,1.2487491615541653,0.052542953093445165,1.1619256321036509,1.215103704106167,1.2354142510361388,1.263056702892806,1.2841905301338614,1.331941662374081,Greece
2020-03-13,R,NA,estimate,1.259275456914298,1.260163915964913,0.048071346994867814,1.1818279692953804,1.2286966671384887,1.2470027080713861,1.2724664777658994,1.291734058923685,1.3375456300239668,Greece
2020-03-14,R,NA,estimate,1.1639251555700771,1.1640593740241312,0.04178295859449146,1.0959695526271644,1.1365123611706247,1.1524951840747302,1.1745852674598156,1.190893198422716,1.2313898219151296,Greece
2020-03-15,R,NA,estimate,1.1750951430033334,1.1753536587841062,0.037261407202045904,1.1154203678521153,1.1506285313583897,1.1639152061167661,1.1836748558502175,1.198933277596609,1.2368516738590545,Greece
2020-03-16,R,NA,estimate,1.2164435329626833,1.2173861707661764,0.03568366986604398,1.1607144741132216,1.1938718187642499,1.2067672970873091,1.2254252819875133,1.2398240850906386,1.2765536923808338,Greece
2020-03-17,R,NA,estimate,1.240569804472119,1.2410918880031563,0.035615773187724124,1.1831035043865519,1.217588354081731,1.2308038148763787,1.249251373235724,1.2637887069176428,1.2991913508654822,Greece
2020-03-18,R,NA,estimate,1.2682533845383694,1.268306220204335,0.03663563752161051,1.207457512229126,1.2446667012528052,1.2584218605085433,1.2772734587633736,1.2916397750573219,1.3274070041108001,Greece
2020-03-19,R,NA,estimate,1.2192588854037627,1.2191227467189327,0.03623221651703637,1.1582440029030865,1.195739492770726,1.2093908302190233,1.2287461976386245,1.2425507023303748,1.2762313441349913,Greece
2020-03-20,R,NA,estimate,1.1845127803279905,1.1845022442178688,0.03416178479661877,1.1278795419343035,1.162377940812145,1.1749072587063139,1.1936607189162607,1.2066375720255866,1.239432163978637,Greece
2020-03-21,R,NA,estimate,1.1040203574637308,1.104202878858556,0.030076037580635085,1.054348427135656,1.084899562579003,1.096145063211187,1.1120480449370531,1.1237895822469648,1.1524306854685236,Greece
2020-03-22,R,NA,estimate,1.0213069246053532,1.0215797321779347,0.024331523989530264,0.9824451105978188,1.0053428428954834,1.0147646799210557,1.0272821401702839,1.0371321797113442,1.0618833181301879,Greece
2020-03-23,R,NA,estimate,1.0407807110761913,1.0418661093067125,0.02019816209434052,1.0119235367781618,1.0280777585368548,1.0359553051424215,1.0458741683967085,1.054231178736321,1.075049874886891,Greece
2020-03-24,R,NA,estimate,0.9891052836042253,0.9902514565662808,0.017067322979115295,0.9658061993715917,0.9792740706714844,0.9852786637211701,0.9932670445428218,0.9999276387375783,1.0181440581996626,Greece
2020-03-25,R,NA,estimate,1.003241033270589,1.0044877935498953,0.0150912454898377,0.9828337292489616,0.9958796755580137,1.0005211078575036,1.0063767945900675,1.0118645232183163,1.0294780228181966,Greece
2020-03-26,R,NA,estimate,0.9880460743459227,0.9886195427145613,0.014062110564859707,0.9667453773044895,0.9822353677107452,0.9856210520881266,0.9903285324408765,0.9946354001318758,1.0113987321832518,Greece
2020-03-27,R,NA,estimate,0.963204640656071,0.9633085708744565,0.013313918871947147,0.9411091257051144,0.9583270115619887,0.9617293750632103,0.9650393123350901,0.9688188801616308,0.9836532827902662,Greece
2020-03-28,R,NA,estimate,0.9179411692324222,0.9170562222934421,0.012718022709263121,0.8949828269261482,0.912432740349566,0.9167197899398374,0.9192415675650515,0.9222443995270402,0.9361674568299796,Greece
