date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-02-21,R,NA,estimate,1.878842446579859,1.8885631929229145,0.1961076514712937,1.580097285230016,1.7508035413509906,1.832064342763156,1.9343562721074101,2.0193826533469883,2.218437616155745,Norway
2020-02-22,R,NA,estimate,1.637587075118419,1.6469296132435614,0.16490900121274152,1.3897668950715276,1.5347146476557403,1.5992992139558213,1.6821922898886232,1.7575582297164916,1.9212064396929278,Norway
2020-02-23,R,NA,estimate,1.9580110954677323,1.965498972415261,0.1848213508118144,1.676373752070579,1.8374204888770231,1.9095352523363354,2.0008114615139814,2.0922227948322405,2.280092456912292,Norway
2020-02-24,R,NA,estimate,3.2299097197125772,3.2366243742997227,0.2944428374300405,2.7681930441194598,3.032415817664043,3.1532901847906816,3.296123004691363,3.430326291563126,3.733296421113687,Norway
2020-02-25,R,NA,estimate,3.198411884021733,3.197665901406034,0.3187055859694408,2.675557832360236,2.983788465883138,3.114530695658055,3.2812805148927398,3.4059473288524744,3.7270070177569066,Norway
2020-02-26,R,NA,estimate,2.705815525334789,2.6995560199088473,0.28352399405271916,2.2248947711929072,2.5074366590550463,2.6292093859705643,2.7773970405718873,2.8874390405703565,3.1622442841779033,Norway
2020-02-27,R,NA,estimate,2.529835743814015,2.523152688126814,0.26458800863011595,2.0877280061047547,2.342737943279726,2.456694300786978,2.5892959058634286,2.6930436431644242,2.971138047762728,Norway
2020-02-28,R,NA,estimate,2.2507787236304204,2.2491416381906975,0.23500242425915702,1.874402040067373,2.089777873189417,2.1920878620081834,2.30527997930277,2.3982143558636357,2.647441812565644,Norway
2020-02-29,R,NA,estimate,2.0116125379789134,2.011480045015162,0.20625553828207382,1.6785942339083788,1.86916524938648,1.9609249352285056,2.059293923022472,2.141538824728102,2.3548950892286777,Norway
2020-03-01,R,NA,estimate,1.8957188607236652,1.8963798732769017,0.18816579299156336,1.60205390418063,1.7663843147787917,1.8470254771449433,1.941571476458029,2.0126175738629932,2.214491765134324,Norway
2020-03-02,R,NA,estimate,1.8934680645112039,1.8962389677575344,0.1803314899661653,1.6116185858926306,1.772255414823652,1.8456437322440975,1.937544448087766,2.011981368640914,2.2014876526141505,Norway
2020-03-03,R,NA,estimate,1.8285503000610317,1.8309329126884502,0.1659953738132143,1.565034373439727,1.7174779841138208,1.7840082858421127,1.8709025879205434,1.9349448131550793,2.1180781146253467,Norway
2020-03-04,R,NA,estimate,1.7987050191384717,1.7986410939337916,0.15276621594534995,1.5514566918390365,1.694503282582443,1.7561767824313177,1.836242356029878,1.894480462442274,2.058360561294898,Norway
2020-03-05,R,NA,estimate,1.7615707921964792,1.762026066823992,0.13940695058610925,1.5361315088154612,1.6684563110663149,1.726344032529044,1.79692230718945,1.852036925730677,1.996626799535009,Norway
2020-03-06,R,NA,estimate,1.7486552469961714,1.7484925228350996,0.12971809338708468,1.5321773555365858,1.6578864770207593,1.7165748604263242,1.7829859132580765,1.831678270976981,1.9674297172630435,Norway
2020-03-07,R,NA,estimate,1.6195485482950795,1.6142376770288622,0.1152882633949385,1.4200971137196678,1.5360704299607235,1.5853217910611759,1.6461561377581826,1.689968429517854,1.8028737711981233,Norway
2020-03-08,R,NA,estimate,1.4727677354075306,1.4705155640485128,0.10127721258809388,1.3010617850235444,1.4023205647743526,1.4467848632954288,1.4978402851300756,1.5376790596464798,1.6354191946071743,Norway
2020-03-09,R,NA,estimate,1.3477685021768622,1.3465326951662626,0.08935234352233998,1.19485303127413,1.2871689079546533,1.3263753103458238,1.3684820660712724,1.4074572407712367,1.4899122441965982,Norway
2020-03-10,R,NA,estimate,1.2778831186490214,1.2783630355526867,0.0813590129608404,1.1470852231512172,1.223609696357288,1.2583176422147586,1.2981264629502909,1.332569865682729,1.4100262978600788,Norway
2020-03-11,R,NA,estimate,1.2385735380625085,1.2395172243956762,0.07517030725850629,1.11691496841791,1.188918270043955,1.21971588987115,1.256288999384418,1.290801955142759,1.3612533676486058,Norway
2020-03-12,R,NA,estimate,1.2030829492425505,1.20475440170887,0.0682494541683401,1.0961086021041604,1.1581421536820518,1.1845573087241172,1.220671034322172,1.2509231490222925,1.316929773640385,Norway
2020-03-13,R,NA,estimate,1.1853652047263847,1.1868022716934412,0.06095097676971631,1.0908502862596854,1.1450854836976703,1.1683533862997015,1.201083128214433,1.2273544246543668,1.289172087254552,Norway
2020-03-14,R,NA,estimate,1.1548909485276697,1.156101646093869,0.0528940377177428,1.0710925724752944,1.1193951809826324,1.1406164254534654,1.1690690699741069,1.191611274372206,1.2458440657579777,Norway
2020-03-15,R,NA,estimate,1.1223387991183351,1.1237328608294896,0.046306277975797554,1.0502351845608988,1.0918280242673108,1.109868813401878,1.134674289775978,1.1551927317123551,1.201876169586549,Norway
2020-03-16,R,NA,estimate,1.1270618433059805,1.1288575781374084,0.04447001624206538,1.059360792791852,1.097689800300376,1.116015495627829,1.1387572747542993,1.1565648442218044,1.2045128966683456,Norway
2020-03-17,R,NA,estimate,1.1129944055032117,1.115442628053464,0.04577097662078796,1.0453370433200924,1.0841328985593135,1.1021205004536765,1.1235937553992557,1.1448907912823416,1.1945361210481173,Norway
2020-03-18,R,NA,estimate,1.0893811812660008,1.0922591051104804,0.04819757744147417,1.019674839132532,1.0581967722985945,1.0778665111483527,1.1005298787906992,1.1220191652970866,1.1774380317223037,Norway
2020-03-19,R,NA,estimate,1.0613409362228778,1.0646077763934674,0.04962213732757383,0.9899363435481003,1.0292105051815263,1.0485500890907193,1.073090778795355,1.095449828721439,1.1523876022092048,Norway
2020-03-20,R,NA,estimate,1.0043797314511402,1.0087886334397518,0.0476629666791487,0.9390285652774288,0.9747778000106565,0.9920219233884294,1.0163694304287523,1.0378333302817893,1.0942396634452713,Norway
2020-03-21,R,NA,estimate,0.9759374168631032,0.9804203246284087,0.04483595520980253,0.9153782844068066,0.94795835354416,0.9645705013913395,0.987156418898067,1.009116432901903,1.0604802543392096,Norway
2020-03-22,R,NA,estimate,0.9488503489076111,0.9531000147793566,0.04065309335000789,0.8940635495706519,0.9236658059314421,0.9398181123194977,0.9605530732978615,0.9783486452344069,1.025895606605448,Norway
