date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-03-04,R,NA,estimate,2.1047311122671726,2.094507220323419,0.1816844859136552,1.7915395992612433,1.9709329787350096,2.0564159673979168,2.1495835291332868,2.2165892908578737,2.3838082559308624,Poland
2020-03-05,R,NA,estimate,1.9155469673398464,1.905045149096146,0.15837393117701792,1.6399158869900883,1.796999586103349,1.8715164669439919,1.952371550794589,2.0125740791374915,2.1562502173464955,Poland
2020-03-06,R,NA,estimate,1.986985445802579,1.9770350539349089,0.15441238221660325,1.7198552946771999,1.8722418759581063,1.9446345215029766,2.0213791846024156,2.0820929044093295,2.2209723217734423,Poland
2020-03-07,R,NA,estimate,1.9023045696032974,1.892806081308014,0.14453982347188704,1.6504744520188586,1.795981346681287,1.8632671348684855,1.9347365047336715,1.9913246003002931,2.1203296222230756,Poland
2020-03-08,R,NA,estimate,1.842947759723847,1.8350793218143633,0.13566813559367766,1.6091344281250164,1.7437031364333513,1.8064095496441581,1.8745918128391492,1.9286260198877023,2.048723135614537,Poland
2020-03-09,R,NA,estimate,1.8256781690170314,1.81866625021368,0.1300393563466058,1.6014597471885268,1.7300915774287442,1.7908913271086115,1.858537183680748,1.9077260968958574,2.023398663995468,Poland
2020-03-10,R,NA,estimate,1.7720798057504679,1.764583069281355,0.12315589001056593,1.5580984271475804,1.6800893496851486,1.7393056652486596,1.8035835395996997,1.84905893096335,1.9594983941003046,Poland
2020-03-11,R,NA,estimate,1.7275676084168596,1.7211365139504056,0.11685927261514838,1.5241157293558483,1.640768128435929,1.697954477191753,1.756296072350342,1.8005809237297732,1.9064103523696962,Poland
2020-03-12,R,NA,estimate,1.6725280004327179,1.666338435552598,0.10994612828306101,1.48147746134005,1.5900411736155657,1.6448050877813452,1.7003281270038473,1.7406195211507878,1.8408268332538196,Poland
2020-03-13,R,NA,estimate,1.6777055875401743,1.6720363701526477,0.10663690686914629,1.4928483714800775,1.599565363338903,1.6508966232035682,1.7051973701643515,1.7448437712311469,1.8399222326092717,Poland
2020-03-14,R,NA,estimate,1.6512531254455642,1.6454219315139882,0.10295594565117867,1.4716413688603824,1.5763943687257524,1.625302350513174,1.6767592884506728,1.7157456593705063,1.8059685326606,Poland
2020-03-15,R,NA,estimate,1.5531462509768263,1.5484508432067094,0.094980865555655,1.389343967146493,1.485392220725936,1.5297451477789086,1.5771531503222003,1.6136309327039473,1.695661388316311,Poland
2020-03-16,R,NA,estimate,1.5250492639788258,1.521051195984385,0.08899668300710518,1.3712132857319856,1.4615621456895969,1.502647817281943,1.5485835599404618,1.5825552079361636,1.6576864116172156,Poland
2020-03-17,R,NA,estimate,1.4849627548330007,1.4809888644377618,0.08317802367765359,1.3422702282999943,1.4254098137657165,1.4631305966972694,1.506782794902092,1.5371907458498253,1.6092649578686578,Poland
2020-03-18,R,NA,estimate,1.5403380365520727,1.536346345717055,0.0826083335934471,1.3991762797920242,1.4806287566493517,1.5180214773468466,1.5614684016351412,1.5927747489531277,1.6638330537511068,Poland
2020-03-19,R,NA,estimate,1.5670080342719315,1.5628688867320601,0.08356076991978144,1.4233182853605193,1.5068080720522756,1.5442138612067908,1.5892644930436755,1.6195330213184755,1.6913015827918554,Poland
2020-03-20,R,NA,estimate,1.4507822261797783,1.4455343656624484,0.07777980363666066,1.3166260372758114,1.3928700780044112,1.4287467569499541,1.4700877828575623,1.498337891318634,1.5645590480271312,Poland
2020-03-21,R,NA,estimate,1.480858060884254,1.47659416839002,0.0756617893768502,1.3526216641531101,1.4245398289444682,1.4594184044929635,1.5002242071835818,1.5281080097288169,1.5929632680978942,Poland
2020-03-22,R,NA,estimate,1.4139140447035858,1.4096573055474944,0.07090231727874433,1.2935357318080085,1.3606757938064638,1.3938474359381532,1.4318415803368993,1.4578009870662776,1.5188565422331421,Poland
2020-03-23,R,NA,estimate,1.394489477539838,1.3911174586393522,0.06678440627629165,1.2818263905630332,1.3453593343227679,1.3768490219243192,1.4119571896085295,1.4371665733956287,1.4939500543881417,Poland
2020-03-24,R,NA,estimate,1.351335044357426,1.348143165382114,0.062017889682730504,1.2457360157659993,1.3054695183518348,1.3342365249991601,1.3678184873306338,1.3910656882789616,1.4431088028185783,Poland
2020-03-25,R,NA,estimate,1.3134418552924743,1.3109237337249786,0.05708867703736604,1.217849910942475,1.27205201220861,1.2976500447670747,1.3289878535367279,1.3507356841362017,1.3991609918071735,Poland
