date,country,cnt,V_18_60,V_18_60_adj,V_60,V_60_adj,V_tot,V_tot_adj
2020-01-01,Denmark,DNK,0,0,0,0,0,0
2020-01-02,Denmark,DNK,0,0,0,0,0,0
2020-01-03,Denmark,DNK,0,0,0,0,0,0
2020-01-04,Denmark,DNK,0,0,0,0,0,0
2020-01-05,Denmark,DNK,0,0,0,0,0,0
2020-01-06,Denmark,DNK,0,0,0,0,0,0
2020-01-07,Denmark,DNK,0,0,0,0,0,0
2020-01-08,Denmark,DNK,0,0,0,0,0,0
2020-01-09,Denmark,DNK,0,0,0,0,0,0
2020-01-10,Denmark,DNK,0,0,0,0,0,0
2020-01-11,Denmark,DNK,0,0,0,0,0,0
2020-01-12,Denmark,DNK,0,0,0,0,0,0
2020-01-13,Denmark,DNK,0,0,0,0,0,0
2020-01-14,Denmark,DNK,0,0,0,0,0,0
2020-01-15,Denmark,DNK,0,0,0,0,0,0
2020-01-16,Denmark,DNK,0,0,0,0,0,0
2020-01-17,Denmark,DNK,0,0,0,0,0,0
2020-01-18,Denmark,DNK,0,0,0,0,0,0
2020-01-19,Denmark,DNK,0,0,0,0,0,0
2020-01-20,Denmark,DNK,0,0,0,0,0,0
2020-01-21,Denmark,DNK,0,0,0,0,0,0
2020-01-22,Denmark,DNK,0,0,0,0,0,0
2020-01-23,Denmark,DNK,0,0,0,0,0,0
2020-01-24,Denmark,DNK,0,0,0,0,0,0
2020-01-25,Denmark,DNK,0,0,0,0,0,0
2020-01-26,Denmark,DNK,0,0,0,0,0,0
2020-01-27,Denmark,DNK,0,0,0,0,0,0
2020-01-28,Denmark,DNK,0,0,0,0,0,0
2020-01-29,Denmark,DNK,0,0,0,0,0,0
2020-01-30,Denmark,DNK,0,0,0,0,0,0
2020-01-31,Denmark,DNK,0,0,0,0,0,0
2020-02-01,Denmark,DNK,0,0,0,0,0,0
2020-02-02,Denmark,DNK,0,0,0,0,0,0
2020-02-03,Denmark,DNK,0,0,0,0,0,0
2020-02-04,Denmark,DNK,0,0,0,0,0,0
2020-02-05,Denmark,DNK,0,0,0,0,0,0
2020-02-06,Denmark,DNK,0,0,0,0,0,0
2020-02-07,Denmark,DNK,0,0,0,0,0,0
2020-02-08,Denmark,DNK,0,0,0,0,0,0
2020-02-09,Denmark,DNK,0,0,0,0,0,0
2020-02-10,Denmark,DNK,0,0,0,0,0,0
2020-02-11,Denmark,DNK,0,0,0,0,0,0
2020-02-12,Denmark,DNK,0,0,0,0,0,0
2020-02-13,Denmark,DNK,0,0,0,0,0,0
2020-02-14,Denmark,DNK,0,0,0,0,0,0
2020-02-15,Denmark,DNK,0,0,0,0,0,0
2020-02-16,Denmark,DNK,0,0,0,0,0,0
2020-02-17,Denmark,DNK,0,0,0,0,0,0
2020-02-18,Denmark,DNK,0,0,0,0,0,0
2020-02-19,Denmark,DNK,0,0,0,0,0,0
2020-02-20,Denmark,DNK,0,0,0,0,0,0
2020-02-21,Denmark,DNK,0,0,0,0,0,0
2020-02-22,Denmark,DNK,0,0,0,0,0,0
2020-02-23,Denmark,DNK,0,0,0,0,0,0
2020-02-24,Denmark,DNK,0,0,0,0,0,0
2020-02-25,Denmark,DNK,0,0,0,0,0,0
2020-02-26,Denmark,DNK,0,0,0,0,0,0
2020-02-27,Denmark,DNK,0,0,0,0,0,0
2020-02-28,Denmark,DNK,0,0,0,0,0,0
2020-02-29,Denmark,DNK,0,0,0,0,0,0
2020-03-01,Denmark,DNK,0,0,0,0,0,0
2020-03-02,Denmark,DNK,0,0,0,0,0,0
2020-03-03,Denmark,DNK,0,0,0,0,0,0
2020-03-04,Denmark,DNK,0,0,0,0,0,0
2020-03-05,Denmark,DNK,0,0,0,0,0,0
2020-03-06,Denmark,DNK,0,0,0,0,0,0
2020-03-07,Denmark,DNK,0,0,0,0,0,0
2020-03-08,Denmark,DNK,0,0,0,0,0,0
2020-03-09,Denmark,DNK,0,0,0,0,0,0
2020-03-10,Denmark,DNK,0,0,0,0,0,0
2020-03-11,Denmark,DNK,0,0,0,0,0,0
2020-03-12,Denmark,DNK,0,0,0,0,0,0
2020-03-13,Denmark,DNK,0,0,0,0,0,0
2020-03-14,Denmark,DNK,0,0,0,0,0,0
2020-03-15,Denmark,DNK,0,0,0,0,0,0
2020-03-16,Denmark,DNK,0,0,0,0,0,0
2020-03-17,Denmark,DNK,0,0,0,0,0,0
2020-03-18,Denmark,DNK,0,0,0,0,0,0
2020-03-19,Denmark,DNK,0,0,0,0,0,0
2020-03-20,Denmark,DNK,0,0,0,0,0,0
2020-03-21,Denmark,DNK,0,0,0,0,0,0
2020-03-22,Denmark,DNK,0,0,0,0,0,0
2020-03-23,Denmark,DNK,0,0,0,0,0,0
2020-03-24,Denmark,DNK,0,0,0,0,0,0
2020-03-25,Denmark,DNK,0,0,0,0,0,0
2020-03-26,Denmark,DNK,0,0,0,0,0,0
2020-03-27,Denmark,DNK,0,0,0,0,0,0
2020-03-28,Denmark,DNK,0,0,0,0,0,0
2020-03-29,Denmark,DNK,0,0,0,0,0,0
2020-03-30,Denmark,DNK,0,0,0,0,0,0
2020-03-31,Denmark,DNK,0,0,0,0,0,0
2020-04-01,Denmark,DNK,0,0,0,0,0,0
2020-04-02,Denmark,DNK,0,0,0,0,0,0
2020-04-03,Denmark,DNK,0,0,0,0,0,0
2020-04-04,Denmark,DNK,0,0,0,0,0,0
2020-04-05,Denmark,DNK,0,0,0,0,0,0
2020-04-06,Denmark,DNK,0,0,0,0,0,0
2020-04-07,Denmark,DNK,0,0,0,0,0,0
2020-04-08,Denmark,DNK,0,0,0,0,0,0
2020-04-09,Denmark,DNK,0,0,0,0,0,0
2020-04-10,Denmark,DNK,0,0,0,0,0,0
2020-04-11,Denmark,DNK,0,0,0,0,0,0
2020-04-12,Denmark,DNK,0,0,0,0,0,0
2020-04-13,Denmark,DNK,0,0,0,0,0,0
2020-04-14,Denmark,DNK,0,0,0,0,0,0
2020-04-15,Denmark,DNK,0,0,0,0,0,0
2020-04-16,Denmark,DNK,0,0,0,0,0,0
2020-04-17,Denmark,DNK,0,0,0,0,0,0
2020-04-18,Denmark,DNK,0,0,0,0,0,0
2020-04-19,Denmark,DNK,0,0,0,0,0,0
2020-04-20,Denmark,DNK,0,0,0,0,0,0
2020-04-21,Denmark,DNK,0,0,0,0,0,0
2020-04-22,Denmark,DNK,0,0,0,0,0,0
2020-04-23,Denmark,DNK,0,0,0,0,0,0
2020-04-24,Denmark,DNK,0,0,0,0,0,0
2020-04-25,Denmark,DNK,0,0,0,0,0,0
2020-04-26,Denmark,DNK,0,0,0,0,0,0
2020-04-27,Denmark,DNK,0,0,0,0,0,0
2020-04-28,Denmark,DNK,0,0,0,0,0,0
2020-04-29,Denmark,DNK,0,0,0,0,0,0
2020-04-30,Denmark,DNK,0,0,0,0,0,0
2020-05-01,Denmark,DNK,0,0,0,0,0,0
2020-05-02,Denmark,DNK,0,0,0,0,0,0
2020-05-03,Denmark,DNK,0,0,0,0,0,0
2020-05-04,Denmark,DNK,0,0,0,0,0,0
2020-05-05,Denmark,DNK,0,0,0,0,0,0
2020-05-06,Denmark,DNK,0,0,0,0,0,0
2020-05-07,Denmark,DNK,0,0,0,0,0,0
2020-05-08,Denmark,DNK,0,0,0,0,0,0
2020-05-09,Denmark,DNK,0,0,0,0,0,0
2020-05-10,Denmark,DNK,0,0,0,0,0,0
2020-05-11,Denmark,DNK,0,0,0,0,0,0
2020-05-12,Denmark,DNK,0,0,0,0,0,0
2020-05-13,Denmark,DNK,0,0,0,0,0,0
2020-05-14,Denmark,DNK,0,0,0,0,0,0
2020-05-15,Denmark,DNK,0,0,0,0,0,0
2020-05-16,Denmark,DNK,0,0,0,0,0,0
2020-05-17,Denmark,DNK,0,0,0,0,0,0
2020-05-18,Denmark,DNK,0,0,0,0,0,0
2020-05-19,Denmark,DNK,0,0,0,0,0,0
2020-05-20,Denmark,DNK,0,0,0,0,0,0
2020-05-21,Denmark,DNK,0,0,0,0,0,0
2020-05-22,Denmark,DNK,0,0,0,0,0,0
2020-05-23,Denmark,DNK,0,0,0,0,0,0
2020-05-24,Denmark,DNK,0,0,0,0,0,0
2020-05-25,Denmark,DNK,0,0,0,0,0,0
2020-05-26,Denmark,DNK,0,0,0,0,0,0
2020-05-27,Denmark,DNK,0,0,0,0,0,0
2020-05-28,Denmark,DNK,0,0,0,0,0,0
2020-05-29,Denmark,DNK,0,0,0,0,0,0
2020-05-30,Denmark,DNK,0,0,0,0,0,0
2020-05-31,Denmark,DNK,0,0,0,0,0,0
2020-06-01,Denmark,DNK,0,0,0,0,0,0
2020-06-02,Denmark,DNK,0,0,0,0,0,0
2020-06-03,Denmark,DNK,0,0,0,0,0,0
2020-06-04,Denmark,DNK,0,0,0,0,0,0
2020-06-05,Denmark,DNK,0,0,0,0,0,0
2020-06-06,Denmark,DNK,0,0,0,0,0,0
2020-06-07,Denmark,DNK,0,0,0,0,0,0
2020-06-08,Denmark,DNK,0,0,0,0,0,0
2020-06-09,Denmark,DNK,0,0,0,0,0,0
2020-06-10,Denmark,DNK,0,0,0,0,0,0
2020-06-11,Denmark,DNK,0,0,0,0,0,0
2020-06-12,Denmark,DNK,0,0,0,0,0,0
2020-06-13,Denmark,DNK,0,0,0,0,0,0
2020-06-14,Denmark,DNK,0,0,0,0,0,0
2020-06-15,Denmark,DNK,0,0,0,0,0,0
2020-06-16,Denmark,DNK,0,0,0,0,0,0
2020-06-17,Denmark,DNK,0,0,0,0,0,0
2020-06-18,Denmark,DNK,0,0,0,0,0,0
2020-06-19,Denmark,DNK,0,0,0,0,0,0
2020-06-20,Denmark,DNK,0,0,0,0,0,0
2020-06-21,Denmark,DNK,0,0,0,0,0,0
2020-06-22,Denmark,DNK,0,0,0,0,0,0
2020-06-23,Denmark,DNK,0,0,0,0,0,0
2020-06-24,Denmark,DNK,0,0,0,0,0,0
2020-06-25,Denmark,DNK,0,0,0,0,0,0
2020-06-26,Denmark,DNK,0,0,0,0,0,0
2020-06-27,Denmark,DNK,0,0,0,0,0,0
2020-06-28,Denmark,DNK,0,0,0,0,0,0
2020-06-29,Denmark,DNK,0,0,0,0,0,0
2020-06-30,Denmark,DNK,0,0,0,0,0,0
2020-07-01,Denmark,DNK,0,0,0,0,0,0
2020-07-02,Denmark,DNK,0,0,0,0,0,0
2020-07-03,Denmark,DNK,0,0,0,0,0,0
2020-07-04,Denmark,DNK,0,0,0,0,0,0
2020-07-05,Denmark,DNK,0,0,0,0,0,0
2020-07-06,Denmark,DNK,0,0,0,0,0,0
2020-07-07,Denmark,DNK,0,0,0,0,0,0
2020-07-08,Denmark,DNK,0,0,0,0,0,0
2020-07-09,Denmark,DNK,0,0,0,0,0,0
2020-07-10,Denmark,DNK,0,0,0,0,0,0
2020-07-11,Denmark,DNK,0,0,0,0,0,0
2020-07-12,Denmark,DNK,0,0,0,0,0,0
2020-07-13,Denmark,DNK,0,0,0,0,0,0
2020-07-14,Denmark,DNK,0,0,0,0,0,0
2020-07-15,Denmark,DNK,0,0,0,0,0,0
2020-07-16,Denmark,DNK,0,0,0,0,0,0
2020-07-17,Denmark,DNK,0,0,0,0,0,0
2020-07-18,Denmark,DNK,0,0,0,0,0,0
2020-07-19,Denmark,DNK,0,0,0,0,0,0
2020-07-20,Denmark,DNK,0,0,0,0,0,0
2020-07-21,Denmark,DNK,0,0,0,0,0,0
2020-07-22,Denmark,DNK,0,0,0,0,0,0
2020-07-23,Denmark,DNK,0,0,0,0,0,0
2020-07-24,Denmark,DNK,0,0,0,0,0,0
2020-07-25,Denmark,DNK,0,0,0,0,0,0
2020-07-26,Denmark,DNK,0,0,0,0,0,0
2020-07-27,Denmark,DNK,0,0,0,0,0,0
2020-07-28,Denmark,DNK,0,0,0,0,0,0
2020-07-29,Denmark,DNK,0,0,0,0,0,0
2020-07-30,Denmark,DNK,0,0,0,0,0,0
2020-07-31,Denmark,DNK,0,0,0,0,0,0
2020-08-01,Denmark,DNK,0,0,0,0,0,0
2020-08-02,Denmark,DNK,0,0,0,0,0,0
2020-08-03,Denmark,DNK,0,0,0,0,0,0
2020-08-04,Denmark,DNK,0,0,0,0,0,0
2020-08-05,Denmark,DNK,0,0,0,0,0,0
2020-08-06,Denmark,DNK,0,0,0,0,0,0
2020-08-07,Denmark,DNK,0,0,0,0,0,0
2020-08-08,Denmark,DNK,0,0,0,0,0,0
2020-08-09,Denmark,DNK,0,0,0,0,0,0
2020-08-10,Denmark,DNK,0,0,0,0,0,0
2020-08-11,Denmark,DNK,0,0,0,0,0,0
2020-08-12,Denmark,DNK,0,0,0,0,0,0
2020-08-13,Denmark,DNK,0,0,0,0,0,0
2020-08-14,Denmark,DNK,0,0,0,0,0,0
2020-08-15,Denmark,DNK,0,0,0,0,0,0
2020-08-16,Denmark,DNK,0,0,0,0,0,0
