metric,scenario,phase,start,end
any,1,W,2019-12-31,2020-11-22
any,1,A,2020-11-22,2021-05-10
any,1,D,2021-05-10,2021-09-30
any,2,W,2019-12-31,2020-12-11
any,2,A,2020-12-11,2021-05-19
any,2,D,2021-05-19,2021-09-30
any,3,W,2019-12-31,2020-12-25
any,3,A,2020-12-25,2021-05-31
any,3,D,2021-05-31,2021-09-30
any,4,W,2019-12-31,2021-01-23
any,4,A,2021-01-23,2021-06-13
any,4,D,2021-06-13,2021-09-30
con,1,W,2019-12-31,2020-11-22
con,1,A,2020-11-22,2021-05-10
con,1,D,2021-05-10,2021-09-30
con,2,W,2019-12-31,2020-12-11
con,2,A,2020-12-11,2021-05-19
con,2,D,2021-05-19,2021-09-30
con,3,W,2019-12-31,2020-12-25
con,3,A,2020-12-25,2021-05-31
con,3,D,2021-05-31,2021-09-30
con,4,W,2019-12-31,2021-01-23
con,4,A,2021-01-23,2021-06-13
con,4,D,2021-06-13,2021-09-30
max,1,W,2019-12-31,2020-11-22
max,1,A,2020-11-22,2021-05-10
max,1,D,2021-05-10,2021-09-30
max,2,W,2019-12-31,2020-12-11
max,2,A,2020-12-11,2021-05-19
max,2,D,2021-05-19,2021-09-30
max,3,W,2019-12-31,2020-12-25
max,3,A,2020-12-25,2021-05-31
max,3,D,2021-05-31,2021-09-30
max,4,W,2019-12-31,2021-01-23
max,4,A,2021-01-23,2021-06-13
max,4,D,2021-06-13,2021-09-30
any,0,full,2019-12-31,2021-09-30
con,0,full,2019-12-31,2021-09-30
max,0,full,2019-12-31,2021-09-30
