country,region,rank,value
Mali,Sub-Saharan Africa,85.375,0.09717245909503543
Gabon,Sub-Saharan Africa,85.5,0.0899342148492922
Kenya,Sub-Saharan Africa,85.75,0.09955167362275338
Kyrgyzstan,Europe & Central Asia,85.95833333333333,0.09766834068308097
Belgium,Europe & Central Asia,87.91666666666667,0.09442458954090391
Oman,Middle East & North Africa,89.54166666666667,0.09440227583584024
India,South Asia,89.83333333333333,0.09268834994618678
Pakistan,South Asia,90.16666666666667,0.09129628422942436
Côte d’Ivoire,Sub-Saharan Africa,90.91666666666667,0.09158916622443193
Poland,Europe & Central Asia,90.91666666666667,0.08646722774374342
Netherlands,Europe & Central Asia,91.875,0.09089209261899901
Algeria,Middle East & North Africa,92.66666666666667,0.08880854944898373
Panama,Latin America & Caribbean,92.875,0.0891298070707333
Guinea,Sub-Saharan Africa,93.33333333333333,0.08430888565102679
Cape Verde,Sub-Saharan Africa,94.25,0.1043259338998173
Saudi Arabia,Middle East & North Africa,95.875,0.0864032800189657
Cuba,Latin America & Caribbean,98.29166666666667,0.08336730904916637
Puerto Rico,Latin America & Caribbean,98.33333333333333,0.08586411909332473
Argentina,Latin America & Caribbean,98.875,0.08268073678251356
Congo - Kinshasa,Sub-Saharan Africa,99.5,0.08249175559770741
Suriname,Latin America & Caribbean,99.75,0.09097491652636727
Indonesia,East Asia & Pacific,99.875,0.07681139639185262
Brazil,Latin America & Caribbean,101.79166666666667,0.08124098041755907
Dominican Republic,Latin America & Caribbean,101.95833333333333,0.07992939855995479
Bolivia,Latin America & Caribbean,102.45833333333333,0.07658662216818138
Mauritania,Sub-Saharan Africa,110.5,0.08796725727367802
Romania,Europe & Central Asia,111.95833333333333,0.0629871834687697
El Salvador,Latin America & Caribbean,116.45833333333333,0.05376852954159813
Colombia,Latin America & Caribbean,118,0.051810525009116815
Namibia,Sub-Saharan Africa,129.91666666666666,0.04444444444444451
